ANO,PAIS,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,DIAMANTINO FERREIRA LUIS - ME,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,"E REALIZACOES EDITORA, LIVRARIA E DISTRIBUIDORA LTDA",4.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDIPRO EDICOES PROFISSIONAIS LTDA,4.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA ALEPH LTDA,3.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA DEGUSTAR LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA GARAMOND LTDA,2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA ILUMINURAS LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA INSULAR LTDA EPP,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA INTRINSECA,12.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA LAMINA LTDA,2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA LANDMARK LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA MADALENA LTDA. - EPP,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA MARTIN CLARET LTDA,5.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA OBJETIVA LTDA,3.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA PILLARES LTDA,2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA ROCCO,2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA SCHWARCZ,12.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA VOZES,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA, TECNOLOGIA E DA CULTURA",1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,GERACAO EDITORIAL,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,GIZ EDITORIAL E LIVRARIA LTDA-EPP,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,GRUPO SM,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,IBIS LIBRIS EDITORES LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,INSTITUTO DA CULTURA E DA BARBARIE,5.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,J.C TEXTOS EDICAO LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,JOAO VARELLA RODRIGUES,2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,L&PM EDITORES,4.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,"LF EDITORA, LIVRARIA E DISTRIBUIDORA LTDA - ME",1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,MGRAF SERVICOS GRAFICOS LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,PANDORGA EDITORA E PRODUTORA LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,PINO DUARTE MERY PILAR - EDITORIAL SERVILIBROS,3.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,PRI PRIMAVERA EDITORIAL LTDA,1.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,3.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,SERVICO SOCIAL DA INDUSTRIA,3.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,UNIVERSIDADE ESTADUAL DE CAMPINAS,2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,UNIVERSIDADE ESTADUAL PAULISTA (UNESP),2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,UNIVERSIDADE FEDERAL DE MINAS GERAIS,2.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,UNIVERSO DOS LIVROS EDITORA,3.0
2015,BRASIL,840 - LITERATURA DE LAS LENGUAS ROMANCES,VIRTUALBOOKS EDITORA E LIVRARIA,1.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",COSAC & NAIFY EDICOES LTDA,2.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",EDITORA CARAMBAIA EIRELI - EPP,2.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",EDITORA FUNDACAO PEIROPOLIS LTDA,1.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",EDITORA MARTIN CLARET LTDA,2.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",EDITORA PENSAMENTO-CULTRIX,2.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",EDITORA SCHWARCZ,3.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",FRASE E EFEITO ESTUDIO EDITORIAL LTDA,1.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",L&PM EDITORES,1.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",LUCIENE DE CASTRO RETO,1.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",MARCO AMERICO LUCCHESI,1.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",RAFAEL ZAMPERETTI COPETTI EDITOR LTDA,2.0
2015,BRASIL,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",UNIVERSIDADE ESTADUAL PAULISTA (UNESP),1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,A. Y. C. DE M. LEMOS - ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,A2 COMUNICACAO E SERVICOS EDITORIAIS LTDA - ME,6.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ABRIL S/A,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,AFONSO CELSO BRANDAO DE SA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ALEXANDRE MAGNOS DE BRITO 70693706368,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ANGELICA RIZZI FIGUEIRO,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ARS ET VITA LTDA - ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASSIS & FLORAO LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASSOCIACAO DOS ESCRITORES DOS MUNICIPIOS DA REGIAO DA GRANDE FLORIANOPOLIS,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASSOCIACAO FRANCISCANA DE ENSINO SENHOR BOM JESUS,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,AVEC EDITORA E COMERCIO DE LIVROS LTDA,6.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BAMBOO EDITORIAL LTDA,7.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BERLENDIS & VERTECCHIA EDITORES LTDA,6.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BOOK EDITORA E DISTRIBUIDORA DE LIVROS LTDA.,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BOOK EXPRESS EDITORA EIRELI - ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BOOKESS EDITORA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BRE COMERCIO DE LIVROS LTDA,7.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BRINQUE-BOOK EDITORA DE LIVROS LTDA,13.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BRUNO ALVES PIRES,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CALLIS EDITORA LTDA,13.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CARLOS HENRIQUE DE SOUZA GOMES,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CASA DA CULTURA POLONIA BRASIL - CCPB,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CASA DA PALAVRA PRODUCAO EDITORIAL LTDA - ME,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CEREJA EDITORA LTDA,12.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,COSAC & NAIFY EDICOES LTDA,16.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CRIA MINEIRA EMPREENDIMENTOS LTDA.,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,D G CARDIN - EDITORA-ME,9.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,DANIEL REBOUCAS DA CRUZ 01552154505,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,DESIGN EDITORA LTDA-ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,DRAGO EDITORIAL,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,DRAGONFLY EDITORIAL LTDA,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDELBRA EDITORA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDICON EDITORA E CONSULTORIA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDIOURO PUBLICACOES DE LAZER E CULTURA LTDA,11.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA ARQUEIRO LTDA,8.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA ATUALIZA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA BELAS-LETRAS LTDA-ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA BIRUTA LTDA,5.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA BM TEXTO LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA BUSSOLA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA CIRCUITO LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA COMUNICACAO DA REGIAO DOS LAGOS LTDA.,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA COMUNITA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA CUORE LTDA. - ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA DA UNIVERSIDADE DE SANTA CRUZ DO SUL,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA DE CULTURA LTDA - EPP,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA DE LIVROS COBOGO LTDA,10.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA DIMENSAO LTDA,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA DUBOLSINHO LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA E DISTRIBUIDORA - EDIPRESS LTDA,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA E LIVRARIA BIANCOVILLI & M. COSTA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA FUNDACAO PEIROPOLIS LTDA,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA INSIGHT LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA INSULAR LTDA EPP,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA LIVRO NOVO LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA MIGUILIM LTDA,6.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA MOV PALAVRAS: EIRELI: EPP,26.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA MOVIMENTO LTDA,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA NOS LTDA.,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA NOVA AGUILAR S/A,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA NOVA ALEXANDRIA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA OBJETIVA LTDA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA PAKA-TATU LTDA-ME,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA PATUA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA ROCCO,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA SCHOBA LTDA-ME,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA SCHWARCZ,9.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA TERCEIRO NOME,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA VOLTA E MEIA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ELIZABETH APARECIDA BEZERRA 31117742873,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EMPREENDIMENTOS JDS LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ESCRITURAS EDITORA DISTRIBUIDORA DE LIVROS LTDA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ESTUDIO SOPA LTDA ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,F FRANCO & CIA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,F M MOREIRA EDITORA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,FABRICIO PEREIRA HERSOGUENRATH DOS SANTOS 41803406828,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,FRASE E EFEITO ESTUDIO EDITORIAL LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"FUNDACAO DA UNIVERSIDADE FEDERAL DO PARANA PARA O DESENVOLVIMENTO DA CIENCIA, TECNOLOGIA E DA CULTURA",1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,FUNDACAO UNIVERSIDADE DE PASSO FUNDO,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,FUTURAMA EDITORA COMERCIO E SERVICOS GRAFICOS LTDA-ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GAUDI EDITORIAL LTDA,5.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GERACAO EDITORIAL,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GIZ EDITORIAL E LIVRARIA LTDA-EPP,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GLOBAL EDITORA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GMT EDITORES LTDA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GRAFICA E EDITORA ADONIS LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GRAFICA EDITORA STAMPPA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GRUPO OXIGENIO LTDA-ME,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GRUPO SM,6.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GUSTAVO HENRIQUE RUFFO,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,IDEIA EDITORA LTDA.,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,INDUSTRIA COMERCIO PRESTACIONAL GRAFICA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,INSTITUTO DSOP DE EDUCACAO FINANCEIRA LTDA,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ITAJARA EDITORA E PRODUTORA CINEMATOGRAFICA LTDA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,JANAINA DE LUNA FREIRE DUQUE -ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,JEFFERSON PACHECO DA FONSECA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,KALANDRAKA EDITORA SL,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,KARINE GONCALVES TEIXEIRA MEI,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,KBR DIGITAL EDITORA,6.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,KITABU LIVRARIA NEGRA LTDA - ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,KOTTER EDITORIAL LTDA,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,L&PM EDITORES,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LEGERE GRAFICA E EDITORA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LICIA COSTA PINTO,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LINGUA GERAL LIVROS LTDA,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LIVROS DA MATRIZ EDITORA E PRODUCOES EDITORIAIS LTDA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LUCI ARTES GRAFICAS LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LUCIANA CORDEIRO DE SOUZA,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LUIZ EDUARDO DE AGUIAR MEIRA-ME,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MANDRAGORA EDITORA LTDA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARCELO NERY DOS SANTOS 05657360940,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARCELO SPALDING PEREZ,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARIANA GIKAS,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MIRIAM DE SALES OLIVEIRA DA ROCHA 50933540582,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MISSAO EVANGELICA LITERARIA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,NET E BOOKS EDITORA LTDA-ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,NOVATERRA EDITORA E DISTRIBUIDORA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,NOVO SECULO EDITORA,4.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,NUCLEO EDICOES LTDA - ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,OAK BOOKS EDITORA LTDA - ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ORDEM DO GRAAL NA TERRA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,OTAVIO AUGUSTO PINTO DE MOURA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PAES NEVES LTDA,8.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PARABOLA EDITORIAL LTDA,11.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PEDRO ALVES VALENTIM,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PIA SOCIEDADE FILHAS DE SAO PAULO,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PORTAL EDITORA E EVENTOS LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PRI PRIMAVERA EDITORIAL LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PS AUTOPUBLICACAO E PRESTACAO DE SERVICOS LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,REALITY BOOKS EDITORA LTDA ME,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,REBECA DE OLIVEIRA SANTOS DUARTE,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,REDBOX EDITORA EIRELI,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,RENATA PERDIGAO DE SANT' ANNA ARAUJO,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,RHJ LIVROS LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,RODRIGO GIOVANINI MALAGODI,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,RONA EDITORA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ROSANA ERBE DE FREITAS 05320821760,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ROVELLE EDICAO E COMERCIO DE LIVROS LTDA,5.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,RUSVEL TINOCO PINTO-JUNIOR,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SABER E LER EDITORA LTDA - EPP,5.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SABERES EDITORA LTDA-ME,11.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SANDRA DOLORES BECKER,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SARAIVA SA LIVREIROS EDITORES,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SAULO RIBEIRO AMORIM 07041380777,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SCORTECCI EDITORA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SERVICO SOCIAL DA INDUSTRIA,6.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SHERY DUQUE PINHEIRO,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SILVIO SEBASTIAO PINTO,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SUCESSO EDITORA E DISTRIBUIDORA LTDA - ME,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,T S UBA EDITORA LUMOS - ME,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,TEXTO EDITORES LTDA,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,TOPBOOKS EDITORA E DISTRIBUIDORA DE LIVROS LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,TRIBOS EDITORA E DISTRIBUIDORA DE LIVROS LTDA - ME,9.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSIDADE FEDERAL DA BAHIA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSO DOS LIVROS EDITORA,7.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,V. DE MOURA MENDONCA - LIVROS,2.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,VALDECY ALMEIDA DE JESUS 48517674553,3.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,VALER LIVRARIA EDITORA E DISTRIBUIDORA LTDA,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,VALERIA MARIA DE DEUS MUNDIM E PRADO,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,WELLINGTON FERNANDES DE SOUZA 32673729844,1.0
2015,BRASIL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,WHOIS PRODUCAO E ARTE - ME,1.0
